"S-1","P-02122018-93","XL","8"
"S-10","P-18112018-84","None","0"
"S-100","P-30122018-145","None","11"
"S-1000","P-23042019-604","6P Black","10"
"S-1001","P-23042019-604","7P White","2"
"S-1002","P-23042019-604","7P Black","1"
"S-1003","P-23042019-604","8P White","2"
"S-1004","P-23042019-604","8P Black","1"
"S-1005","P-23042019-605","Black ","2"
"S-1006","P-23042019-606","Black ","8"
"S-1007","P-23042019-606","White ","3"
"S-1008","P-24042019-607","None","19"
"S-1009","P-24042019-608","None","5"
"S-101","P-30122018-146","40","5"
"S-1010","P-24042019-609","None","5"
"S-1011","P-24042019-610","None","5"
"S-1012","P-24042019-611","None","4"
"S-1013","P-24042019-612","None","5"
"S-1014","P-24042019-613","None","5"
"S-1015","P-24042019-614","None","4"
"S-1016","P-29042019-615","None","8"
"S-1017","P-01052019-616","None","1"
"S-1018","P-01052019-617","Black ","1"
"S-1019","P-01052019-617","Brown","1"
"S-102","P-30122018-146","41","5"
"S-1020","P-01052019-617","Grey","1"
"S-1021","P-01052019-618","Black ","1"
"S-1022","P-01052019-618","Blue","1"
"S-1023","P-01052019-618","Brown ","1"
"S-1024","P-01052019-618","Grey","1"
"S-1025","P-01052019-619","Black ","1"
"S-1026","P-01052019-619","Dark Blue","1"
"S-1027","P-01052019-620","Blue","1"
"S-1028","P-01052019-620","Brown","1"
"S-1029","P-01052019-621","Black","1"
"S-103","P-30122018-146","44","5"
"S-1030","P-01052019-621","Dark Blue","1"
"S-1031","P-01052019-622","Black","1"
"S-1032","P-01052019-622","Blue","1"
"S-1033","P-01052019-623","Black ","1"
"S-1034","P-01052019-623","Dark Blue ","1"
"S-1035","P-01052019-624","White","1"
"S-1036","P-01052019-624","Pink","0"
"S-1037","P-01052019-625","Grey","1"
"S-1038","P-01052019-625","Brown ","1"
"S-1039","P-01052019-626","Black ","1"
"S-104","P-30122018-147","41","5"
"S-1040","P-01052019-626","Dark Blue ","1"
"S-1041","P-02052019-627","7/8","1"
"S-1042","P-02052019-627","7+/8+","0"
"S-1043","P-02052019-627","X/Xs","1"
"S-1044","P-02052019-627","XS Max","1"
"S-1045","P-02052019-628","7/8","1"
"S-1046","P-02052019-628","7+/8+","1"
"S-1047","P-02052019-628","X/Xs","0"
"S-1048","P-02052019-628","XS Max","1"
"S-1049","P-02052019-629","6+ / 6S+","0"
"S-105","P-30122018-147","42","5"
"S-1050","P-02052019-629","7 / 8","1"
"S-1051","P-02052019-629","7+ / 8+","0"
"S-1052","P-02052019-629","X / Xs","1"
"S-1053","P-02052019-629","Xs Max","0"
"S-1054","P-02052019-630","6+ / 6S+","1"
"S-1055","P-02052019-630","7 / 8","1"
"S-1056","P-02052019-630","7+ / 8+","1"
"S-1057","P-02052019-630","X / Xs","0"
"S-1058","P-02052019-630","Xs Max","0"
"S-1059","P-02052019-631","6+ / 6S+","1"
"S-106","P-30122018-147","43","5"
"S-1060","P-02052019-631","7 / 8","1"
"S-1061","P-02052019-631","7+ / 8+","0"
"S-1062","P-02052019-631","X / Xs","0"
"S-1063","P-02052019-631","Xs Max","0"
"S-1064","P-02052019-632","6+ / 6S+","0"
"S-1065","P-02052019-632","7 / 8","1"
"S-1066","P-02052019-632","7+ / 8+","0"
"S-1067","P-02052019-632","X / Xs","0"
"S-1068","P-02052019-632","Xs Max","0"
"S-1069","P-03052019-633","40","5"
"S-107","P-30122018-147","44","5"
"S-1070","P-03052019-633","41","5"
"S-1071","P-03052019-633","42","5"
"S-1072","P-03052019-633","43","5"
"S-1073","P-03052019-633","44","5"
"S-1074","P-03052019-633","45","5"
"S-1075","P-04052019-634","None","4"
"S-1076","P-04052019-635","None","2"
"S-1077","P-04052019-636","None","3"
"S-1078","P-04052019-637","None","2"
"S-1079","P-04052019-638","None","1"
"S-108","P-30122018-148","40","5"
"S-1080","P-04052019-639","None","2"
"S-1081","P-07052019-640","Carbon Force","0"
"S-1082","P-07052019-640","Titanium Dry","4"
"S-1083","P-07052019-640","Tungsten Strength","4"
"S-1084","P-07052019-640","Nitrous Energy","4"
"S-1085","P-07052019-641","Black","5"
"S-1086","P-07052019-641","Coffee Brown","5"
"S-1087","P-07052019-641","Dark Brown","0"
"S-1088","P-09052019-642","40","5"
"S-1089","P-09052019-642","41","5"
"S-109","P-30122018-148","41","5"
"S-1090","P-09052019-642","42","5"
"S-1091","P-09052019-642","43","5"
"S-1092","P-09052019-642","44","5"
"S-1093","P-09052019-642","45","5"
"S-1094","P-09052019-643","None","9"
"S-1095","P-09052019-644","None","5"
"S-1096","P-09052019-645","None","5"
"S-1097","P-09052019-646","None","5"
"S-1098","P-09052019-647","None","5"
"S-1099","P-09052019-648","None","5"
"S-11","P-24112018-87","None","5"
"S-110","P-30122018-148","42","5"
"S-1100","P-09052019-649","None","5"
"S-1101","P-09052019-650","None","5"
"S-1102","P-09052019-651","None","5"
"S-1103","P-09052019-652","None","5"
"S-1104","P-09052019-653","None","5"
"S-1105","P-09052019-654","None","5"
"S-1106","P-09052019-655","None","5"
"S-1107","P-10052019-656","None","97"
"S-1108","P-11052019-657","None","100"
"S-1109","P-11052019-658","White","5"
"S-111","P-30122018-148","43","5"
"S-1110","P-11052019-658","Black","11"
"S-1111","P-11052019-659","None","10"
"S-1112","P-11052019-660","None","10"
"S-1113","P-12052019-661","M","10"
"S-1114","P-12052019-661","L","10"
"S-1115","P-12052019-661","XL","10"
"S-1116","P-12052019-662","M","10"
"S-1117","P-12052019-662","L","10"
"S-1118","P-12052019-662","XL","10"
"S-1119","P-12052019-663","M","10"
"S-112","P-30122018-149","None","13"
"S-1120","P-12052019-663","L","10"
"S-1121","P-12052019-663","XL","10"
"S-1122","P-12052019-664","M","10"
"S-1123","P-12052019-664","L","10"
"S-1124","P-12052019-664","XL","10"
"S-1125","P-13052019-665","Black","3"
"S-1126","P-13052019-665","Blue","2"
"S-1127","P-13052019-665","White","5"
"S-1128","P-14052019-666","Cocoa Butter","10"
"S-1129","P-14052019-666","Avocado Milk","0"
"S-113","P-30122018-150","40","1"
"S-1130","P-14052019-666","Coconut","10"
"S-1131","P-14052019-667","Ice","9"
"S-1132","P-14052019-667","Fire","0"
"S-1133","P-14052019-667","Storm","0"
"S-1134","P-14052019-668","Ice","10"
"S-1135","P-14052019-668","Fire","0"
"S-1136","P-14052019-668","Storm","0"
"S-1137","P-14052019-669","Cocoa Butter","9"
"S-1138","P-14052019-669","Avocado Milk","10"
"S-1139","P-14052019-669","Coconut","10"
"S-114","P-30122018-150","41","1"
"S-1140","P-15052019-670","None","20"
"S-1141","P-15052019-671","None","1"
"S-1142","P-15052019-672","None","1"
"S-1143","P-15052019-673","None","10"
"S-1144","P-15052019-674","None","20"
"S-1145","P-15052019-675","None","20"
"S-1146","P-15052019-676","None","20"
"S-1147","P-15052019-677","None","1"
"S-1148","P-15052019-678","None","11"
"S-1149","P-15052019-679","None","0"
"S-115","P-30122018-150","43","1"
"S-1150","P-15052019-680","None","0"
"S-1151","P-15052019-681","None","20"
"S-1152","P-15052019-682","None","2"
"S-1153","P-15052019-683","None","15"
"S-1154","P-15052019-684","None","15"
"S-1155","P-15052019-685","None","10"
"S-1156","P-15052019-686","None","25"
"S-1157","P-15052019-687","None","15"
"S-1158","P-15052019-688","None","6"
"S-1159","P-15052019-689","None","8"
"S-116","P-30122018-151","None","20"
"S-1160","P-15052019-690","None","24"
"S-1161","P-15052019-691","None","3"
"S-1162","P-16052019-692","None","25"
"S-1163","P-16052019-693","None","33"
"S-1164","P-16052019-694","None","3"
"S-1165","P-16052019-695","None","25"
"S-1166","P-16052019-696","None","20"
"S-1167","P-16052019-697","None","20"
"S-1168","P-16052019-698","None","5"
"S-1169","P-16052019-699","None","5"
"S-117","P-30122018-152","None","20"
"S-1170","P-16052019-700","None","5"
"S-1171","P-16052019-701","None","5"
"S-1172","P-16052019-702","None","5"
"S-1173","P-16052019-703","None","5"
"S-1174","P-16052019-704","None","5"
"S-1175","P-16052019-705","None","6"
"S-1176","P-17052019-706","XS / X","1"
"S-1177","P-17052019-706","XS Max","1"
"S-1178","P-17052019-707","XS / X","1"
"S-1179","P-17052019-707","XS Max","1"
"S-118","P-30122018-153","None","20"
"S-1180","P-17052019-708","7 / 8","1"
"S-1181","P-17052019-708","Xs Max","1"
"S-1182","P-17052019-709","7 Plus","1"
"S-1183","P-17052019-709","8 Plus","1"
"S-1184","P-17052019-710","None","1"
"S-1185","P-17052019-711","None","1"
"S-1186","P-17052019-712","None","1"
"S-1187","P-17052019-713","None","3"
"S-1188","P-17052019-714","None","2"
"S-1189","P-17052019-715","None","1"
"S-119","P-30122018-154","None","12"
"S-1190","P-17052019-716","None","1"
"S-1191","P-17052019-717","None","1"
"S-1192","P-17052019-718","None","1"
"S-1193","P-17052019-719","None","1"
"S-1194","P-17052019-720","None","1"
"S-1195","P-18052019-721","White Max","2"
"S-1196","P-18052019-721","Black Max","1"
"S-1197","P-18052019-721","Black X/XS","1"
"S-1198","P-18052019-721","White X/XS","1"
"S-1199","P-18052019-722","None","1"
"S-12","P-24112018-88","None","5"
"S-120","P-30122018-155","None","14"
"S-1200","P-18052019-723","None","1"
"S-1201","P-18052019-724","None","1"
"S-1202","P-18052019-725","None","0"
"S-1203","P-18052019-726","None","1"
"S-1204","P-18052019-727","None","1"
"S-1205","P-18052019-728","None","1"
"S-1206","P-18052019-729","None","1"
"S-1207","P-18052019-730","None","1"
"S-1208","P-22052019-731","Green","1"
"S-1209","P-22052019-731","Brown","1"
"S-121","P-30122018-156","None","13"
"S-1210","P-22052019-732","60 Capsule Bottle","4"
"S-1211","P-22052019-733","None","20"
"S-1212","P-22052019-734","None","20"
"S-1213","P-22052019-735","None","20"
"S-1214","P-22052019-736","None","18"
"S-1215","P-22052019-737","None","20"
"S-1216","P-22052019-738","None","20"
"S-1217","P-22052019-739","None","1"
"S-1218","P-22052019-740","None","1"
"S-1219","P-23052019-741","None","1"
"S-122","P-30122018-157","None","14"
"S-1220","P-23052019-742","None","1"
"S-1221","P-23052019-743","None","1"
"S-1222","P-23052019-744","None","1"
"S-1223","P-23052019-745","None","1"
"S-1224","P-23052019-746","None","1"
"S-1225","P-23052019-747","None","1"
"S-1226","P-23052019-748","None","1"
"S-1227","P-23052019-749","None","1"
"S-1228","P-23052019-750","None","1"
"S-1229","P-23052019-751","None","1"
"S-123","P-31122018-158","None","8"
"S-1230","P-23052019-752","None","1"
"S-1231","P-23052019-753","None","1"
"S-1232","P-23052019-754","None","1"
"S-1233","P-23052019-755","None","1"
"S-1234","P-23052019-756","None","1"
"S-1235","P-23052019-757","None","1"
"S-1236","P-23052019-758","None","1"
"S-1237","P-23052019-759","None","1"
"S-1238","P-23052019-760","Black","5"
"S-1239","P-23052019-760","Dark Brown","2"
"S-124","P-31122018-159","None","8"
"S-1240","P-23052019-760","Light Brown","3"
"S-1241","P-23052019-761","None","50"
"S-1242","P-23052019-762","None","20"
"S-1243","P-23052019-763","None","20"
"S-1244","P-25052019-764","None","100"
"S-1245","P-25052019-765","None","100"
"S-1246","P-25052019-766","None","100"
"S-1247","P-28052019-767","None","49"
"S-1248","P-29052019-768","None","8"
"S-1249","P-29052019-769","None","6"
"S-125","P-31122018-160","None","0"
"S-1250","P-29052019-770","None","3"
"S-1251","P-29052019-771","None","3"
"S-1252","P-01062019-772","None","2"
"S-1253","P-01062019-773","Desert Charm","50"
"S-1254","P-01062019-773","Lavendar","50"
"S-1255","P-01062019-773","Lily","50"
"S-1256","P-01062019-773","White Rose","50"
"S-1257","P-05062019-774","Black","5"
"S-1258","P-05062019-774","White","4"
"S-1259","P-05062019-775","None","2"
"S-126","P-31122018-161","None","2"
"S-1260","P-05062019-776","None","4"
"S-1261","P-05062019-777","None","4"
"S-1262","P-05062019-778","White","5"
"S-1263","P-05062019-778","Black","9"
"S-1264","P-05062019-779","White","6"
"S-1265","P-05062019-779","Black","10"
"S-1266","P-05062019-780","White","10"
"S-1267","P-05062019-780","Black","10"
"S-1268","P-05062019-781","X-White","5"
"S-1269","P-05062019-781","X-Black","10"
"S-127","P-31122018-162","None","0"
"S-1270","P-05062019-781","XR-White","5"
"S-1271","P-05062019-781","XR-Black","5"
"S-1272","P-05062019-782","White ","5"
"S-1273","P-05062019-782","Black ","7"
"S-1274","P-07062019-783","None","10"
"S-1275","P-08062019-784","None","3"
"S-1276","P-10062019-785","None","100"
"S-1277","P-10062019-786","None","100"
"S-1278","P-10062019-787","None","100"
"S-1279","P-10062019-788","None","14"
"S-128","P-31122018-163","None","8"
"S-1280","P-10062019-789","None","10"
"S-1281","P-10062019-790","None","10"
"S-1282","P-10062019-791","None","7"
"S-1283","P-10062019-792","None","8"
"S-1284","P-10062019-793","None","9"
"S-1285","P-10062019-794","None","11"
"S-1286","P-10062019-795","None","12"
"S-1287","P-10062019-796","None","100"
"S-1288","P-10062019-797","None","100"
"S-1289","P-10062019-798","None","100"
"S-129","P-31122018-164","None","7"
"S-1290","P-10062019-799","None","100"
"S-1291","P-10062019-800","None","100"
"S-1292","P-10062019-801","None","100"
"S-1293","P-10062019-802","None","100"
"S-1294","P-10062019-803","None","100"
"S-1295","P-10062019-804","None","100"
"S-1296","P-10062019-805","None","100"
"S-1297","P-10062019-806","None","100"
"S-1298","P-10062019-807","None","100"
"S-1299","P-10062019-808","None","100"
"S-13","P-24112018-89","None","5"
"S-130","P-31122018-165","None","6"
"S-1300","P-10062019-809","None","100"
"S-1301","P-10062019-810","None","100"
"S-1302","P-10062019-811","None","100"
"S-1303","P-10062019-812","None","100"
"S-1304","P-10062019-813","None","100"
"S-1305","P-10062019-814","None","10"
"S-1306","P-10062019-815","None","100"
"S-1307","P-10062019-816","None","100"
"S-1308","P-12062019-817","None","2"
"S-131","P-31122018-166","None","7"
"S-1310","P-12062019-818","41","1"
"S-1311","P-12062019-819","41","1"
"S-1312","P-12062019-819","42","1"
"S-1313","P-12062019-819","43","1"
"S-1314","P-12062019-820","41","1"
"S-1315","P-12062019-820","44","1"
"S-1316","P-12062019-821","41","1"
"S-1317","P-12062019-821","43","1"
"S-1318","P-12062019-822","None","1"
"S-1319","P-12062019-823","None","10"
"S-132","P-31122018-167","None","10"
"S-1320","P-12062019-824","None","10"
"S-1321","P-12062019-825","None","10"
"S-1322","P-12062019-826","None","10"
"S-1323","P-12062019-827","None","10"
"S-1324","P-12062019-828","None","5"
"S-1325","P-12062019-829","None","10"
"S-1326","P-12062019-830","None","10"
"S-1327","P-12062019-831","None","10"
"S-1328","P-12062019-832","None","10"
"S-1329","P-12062019-833","None","10"
"S-133","P-31122018-168","None","10"
"S-1330","P-12062019-834","None","10"
"S-1331","P-12062019-835","None","10"
"S-1332","P-12062019-836","None","10"
"S-1333","P-12062019-837","None","10"
"S-1334","P-12062019-838","None","10"
"S-1336","P-16062019-839","XL","4"
"S-1337","P-16062019-839","XXL","5"
"S-1338","P-16062019-839","L","3"
"S-1339","P-16062019-840","None","72"
"S-134","P-31122018-169","None","10"
"S-1340","P-16062019-841","None","6"
"S-1341","P-17062019-842","L","5"
"S-1342","P-17062019-842","XL","4"
"S-1343","P-17062019-842","XXL","4"
"S-1344","P-17062019-843","None","1"
"S-1345","P-17062019-844","M","1"
"S-1346","P-17062019-844","L","3"
"S-1347","P-17062019-844","XL","2"
"S-1348","P-17062019-844","XXL","2"
"S-1349","P-17062019-845","L","4"
"S-135","P-31122018-170","None","10"
"S-1350","P-17062019-845","XL","4"
"S-1351","P-17062019-845","XXL","4"
"S-1352","P-17062019-846","M","1"
"S-1353","P-17062019-846","L","3"
"S-1354","P-17062019-846","XL","4"
"S-1355","P-17062019-847","None","1"
"S-1356","P-17062019-848","L","2"
"S-1357","P-17062019-848","XL","3"
"S-1358","P-17062019-848","XXL","3"
"S-1359","P-17062019-849","L","3"
"S-136","P-31122018-171","None","10"
"S-1360","P-17062019-849","XL","2"
"S-1361","P-17062019-849","XXL","4"
"S-1362","P-17062019-850","None","1"
"S-1363","P-17062019-851","M","3"
"S-1364","P-17062019-851","L","5"
"S-1365","P-17062019-851","XL","4"
"S-1366","P-17062019-851","XXL","4"
"S-1367","P-17062019-852","L","5"
"S-1368","P-17062019-852","XL","5"
"S-1369","P-17062019-852","XXL ","3"
"S-137","P-31122018-172","None","15"
"S-1370","P-17062019-853","L","3"
"S-1371","P-17062019-853","XL","3"
"S-1372","P-17062019-853","XXL ","3"
"S-1373","P-17062019-854","L","2"
"S-1374","P-17062019-854","XL","4"
"S-1375","P-17062019-854","XXL ","2"
"S-1376","P-17062019-855","L","2"
"S-1377","P-17062019-855","XXL ","4"
"S-1378","P-17062019-855","XL","3"
"S-1379","P-17062019-856","L","2"
"S-138","P-31122018-173","None","10"
"S-1380","P-17062019-856","XL","2"
"S-1381","P-17062019-856","XXL","2"
"S-1382","P-17062019-857","L","4"
"S-1383","P-17062019-857","XL","2"
"S-1384","P-17062019-857","XXL","3"
"S-1385","P-18062019-858","35","5"
"S-1386","P-18062019-858","36","5"
"S-1387","P-18062019-858","37","5"
"S-1388","P-18062019-858","38","5"
"S-1389","P-18062019-858","39","5"
"S-139","P-31122018-174","None","10"
"S-1390","P-18062019-858","40","5"
"S-1391","P-18062019-858","41","5"
"S-1392","P-18062019-858","42","5"
"S-1393","P-18062019-858","43","5"
"S-1394","P-18062019-858","44","5"
"S-1395","P-18062019-858","45","5"
"S-1396","P-19062019-859","None","1"
"S-1397","P-19062019-860","43","1"
"S-1398","P-19062019-860","44","1"
"S-1399","P-19062019-861","38","1"
"S-14","P-24112018-90","None","5"
"S-140","P-31122018-175","40","1"
"S-1400","P-19062019-861","39","1"
"S-1401","P-19062019-862","None","1"
"S-1402","P-19062019-863","None","1"
"S-1403","P-19062019-864","None","0"
"S-1404","P-19062019-865","None","1"
"S-1405","P-19062019-866","None","1"
"S-1406","P-19062019-867","7P/8P","1"
"S-1407","P-19062019-867","7/8","0"
"S-1408","P-19062019-868","7P/8P","1"
"S-1409","P-19062019-868","7/8","1"
"S-141","P-31122018-175","41","1"
"S-1410","P-19062019-869","None","1"
"S-1411","P-21062019-870","None","10"
"S-1412","P-21062019-871","None","10"
"S-1413","P-21062019-872","None","10"
"S-1414","P-21062019-873","None","5"
"S-1415","P-21062019-874","None","5"
"S-1416","P-21062019-875","None","5"
"S-1417","P-21062019-876","None","20"
"S-1418","P-21062019-877","None","20"
"S-1419","P-21062019-878","None","5"
"S-142","P-31122018-175","44","1"
"S-1420","P-21062019-879","None","5"
"S-1421","P-21062019-880","None","5"
"S-1422","P-21062019-881","None","20"
"S-1423","P-21062019-882","None","5"
"S-1424","P-21062019-883","None","20"
"S-1425","P-22062019-884","Medium","2"
"S-1426","P-22062019-884","Large","2"
"S-1427","P-22062019-885","Medium","2"
"S-1428","P-22062019-885","Large","2"
"S-1429","P-22062019-886","38","0"
"S-143","P-31122018-176","41","1"
"S-1430","P-22062019-886","39","1"
"S-1431","P-22062019-886","39/40","0"
"S-1432","P-22062019-886","41/42","0"
"S-1433","P-22062019-887","36.5","1"
"S-1434","P-22062019-887","37","1"
"S-1435","P-22062019-887","37.5","1"
"S-1436","P-22062019-887","38","1"
"S-1437","P-22062019-887","38.5","1"
"S-1438","P-22062019-887","39","2"
"S-1439","P-22062019-887","40","1"
"S-144","P-31122018-176","42","1"
"S-1440","P-22062019-887","41","2"
"S-1441","P-22062019-887","42","1"
"S-1442","P-22062019-888","37","1"
"S-1443","P-22062019-888","37.5","1"
"S-1444","P-22062019-888","38","1"
"S-1445","P-22062019-888","39","1"
"S-1446","P-22062019-888","41","2"
"S-1447","P-22062019-888","42","1"
"S-1448","P-22062019-889","37","1"
"S-1449","P-22062019-889","37.5","1"
"S-145","P-31122018-176","44","1"
"S-1450","P-22062019-889","38","0"
"S-1451","P-22062019-889","38.5","0"
"S-1452","P-22062019-889","39","2"
"S-1453","P-22062019-889","41","2"
"S-1454","P-22062019-889","42","1"
"S-1455","P-22062019-890","37","0"
"S-1456","P-22062019-890","39","0"
"S-1457","P-22062019-890","41","0"
"S-1458","P-22062019-891","36.5","1"
"S-1459","P-22062019-891","37.5","1"
"S-146","P-31122018-177","None","7"
"S-1460","P-22062019-891","39","1"
"S-1461","P-22062019-891","40","0"
"S-1462","P-22062019-891","41","2"
"S-1463","P-22062019-892","36.5","1"
"S-1464","P-22062019-892","37.5","2"
"S-1465","P-22062019-892","38","2"
"S-1466","P-22062019-892","38.5","2"
